Recency,Income_per_Family_Member_Transformed,PC1_TotalPurchases_Total,PC1_AvgPerPurchase_Income
0.18,0.7189064463507451,0.9198271793039567,0.457701039334654
-0.22,-0.3908121019768333,-0.5587866336483919,-0.5304250777074092
-0.46,1.0009902073244639,0.3659020157875055,0.45171927597864303
-0.46,-0.6741708251000147,-0.4708970809263191,-0.7087469019101849
0.9,0.2070002243777572,0.1208110599631306,0.09545581711646807
-0.66,0.29280468309468444,0.3748598945068709,0.2805486609092986
-0.3,0.15039009588304975,0.2767573176868098,0.1346379908472439
-0.34,-0.4325430558467794,-0.3398729968652,-0.34104007756886356
-0.6,-0.5373034680495851,-0.5496804548101488,-0.6169129204703949
0.38,-2.2618626818572696,-0.6990995688804327,-0.6147244015825594
0.2,-1.4935958381090395,-0.5424913662536411,-0.8593394445005056
0.66,0.8268613414448095,0.33357370902195804,0.5493361767962
0.08,-0.11268926913290944,-0.08372439970704575,0.08733382951955929
-0.22,-0.7001785518202889,-0.5873946877555452,-0.7495291804674353
-0.52,1.2046896364003616,0.8128010959783312,0.7178823623379491
0.04,-0.5014012213564221,-0.41257412745226735,-0.36132754134465517
-0.58,0.1720420281265239,-0.15579795760480156,-0.16370901966843265
0.84,0.5560664993944717,1.0366213863709384,0.7443309054476596
0.74,-0.4209594380433374,-0.4325552752916113,-0.3410903076006166
-0.16,0.1487618636646614,-0.19399146312063176,-0.14874332762887627
-0.14,-2.630279641667182,1.6528411727801162,-0.49396526279436015
0.28,0.21355162663055127,0.30898250781095415,0.4202492860000339
-0.98,0.34744048412783396,0.21699654650145642,0.26050247260111853
0.4,-0.2153630026252021,0.16906928945807168,-0.15278794223140005
0.8,-0.6268629936808866,-0.4603530843767744,-0.7263253776645342
-0.9,-0.2341156143585073,-0.14684007888543602,-0.03466860211449472
-0.46,-0.28167059863127214,-0.3957995874870826,-0.3178753083443673
0.94,1.2356965860753581,0.983901403623215,0.8288067139841437
-0.3,-1.1493332848672977,-0.4819203500462976,-1.0725469225898066
0.14,0.19939146067153204,-0.23074715092516035,-0.09570156460940868
-0.36,-0.219290445398336,-0.401071585761855,-0.31360478769051475
