Age,Income,TotalChildren,Income_per_Family_Member_Transformed,Education_ord,Marital_Encoded,cluster
0.7222222222222222,0.1997656043249782,-1.0,0.7188982275889217,0.0,-0.5,1
0.8888888888888888,-0.1569392461532645,1.0,-0.3908150411606669,0.0,-0.5,0
0.2777777777777778,0.6073116328305168,-1.0,1.0009727280265326,0.0,0.0,1
-0.7777777777777778,-0.7526974405504517,0.0,-0.6741775692158861,0.0,0.0,0
-0.6111111111111112,0.204453517825413,0.0,0.2069999285637556,2.0,0.5,2
0.1666666666666666,0.3320857434501531,0.0,0.2928038063929294,1.0,0.0,2
-0.0555555555555555,0.1240633624437639,0.0,0.150390031652508,0.0,-0.5,0
-0.8333333333333334,-0.5467921817700654,0.0,-0.4325465058321789,2.0,0.5,2
-0.2222222222222222,-0.6406411855884465,0.0,-0.5373082985012889,2.0,0.0,2
1.1111111111111112,-1.3877736191448338,1.0,-2.2617659008336086,2.0,0.0,2
-0.3333333333333333,-1.3317606139654456,-1.0,-1.4936021957337822,-2.0,0.5,0
0.6111111111111112,0.347812937129031,-1.0,0.8268500076179311,0.0,-0.5,1
1.0,0.2365430418509697,1.0,-0.1126897032507062,1.0,-0.5,2
-0.9444444444444444,-1.0346678764507955,-1.0,-0.7001856598526246,0.0,0.5,0
1.3333333333333333,0.9456580091489925,-1.0,1.2046631774825034,2.0,-0.5,1
-0.5555555555555556,-0.2928584930626441,1.0,-0.5014055656606735,0.0,0.5,0
1.3333333333333333,-0.4165589202676647,-1.0,0.1720418892364549,0.0,0.0,1
1.1666666666666667,0.7700880874069034,0.0,0.5560619984485613,1.0,0.5,1
-0.8333333333333334,-0.5359646138142226,0.0,-0.4209627436094744,-1.0,-0.5,0
-0.6666666666666666,-0.4383350345922649,-1.0,0.1487618043599596,0.0,0.5,0
-0.5,-1.484586594079619,0.0,-2.6300137224748283,0.0,0.5,0
1.1666666666666667,0.213950323239197,0.0,0.2135512963456836,2.0,0.5,2
0.8888888888888888,0.4171033231257797,0.0,0.3474390882184823,2.0,0.5,2
1.0555555555555556,-0.3279724774110619,0.0,-0.2153641492704799,0.0,0.0,0
