Recency,TotalPurchases,Total_Spent,AvgPerPurchase_Transformed,Income,Income_per_Family_Member_Transformed,cluster
0.18,0.7692307692307693,1.2469987228607915,0.6990911261321044,0.1997656043249782,0.7188982275889217,0
-0.22,-0.6923076923076923,-0.377522349936143,-0.9694873355263616,-0.1569392461532645,-0.3908150411606669,1
-0.46,0.4615384615384615,0.3877394636015325,0.3014257303196397,0.6073116328305168,1.0009727280265326,0
-0.46,-0.5384615384615384,-0.3509578544061302,-0.7679378864113531,-0.7526974405504517,-0.6741775692158861,1
0.9,0.3076923076923077,0.0260536398467432,-0.0407417687737644,0.204453517825413,0.2069999285637556,2
-0.66,0.5384615384615384,0.3264367816091954,0.214282583222173,0.3320857434501531,0.2928038063929294,2
-0.3,0.4615384615384615,0.1977011494252873,0.1148482007584119,0.1240633624437639,0.150390031652508,2
-0.34,-0.3846153846153846,-0.2324393358876117,-0.2162297902191819,-0.5467921817700654,-0.4325465058321789,1
-0.6,-0.6923076923076923,-0.3581098339719029,-0.6875052306229519,-0.6406411855884465,-0.5373082985012889,1
0.38,-1.0,-0.3550446998722861,0.0236941986650287,-1.3877736191448338,-2.2617659008336086,1
0.2,-0.6923076923076923,-0.3427841634738186,-0.5258876956292792,-1.3317606139654456,-1.4936021957337822,1
0.66,0.0769230769230769,0.7208173690932311,0.7450740300365748,0.347812937129031,0.8268500076179311,0
0.08,0.0,-0.0883780332056194,-0.0875856793695909,0.2365430418509697,-0.1126897032507062,2
-0.22,-0.7692307692307693,-0.3581098339719029,-0.583998062071015,-1.0346678764507955,-0.7001856598526246,1
-0.52,0.8461538461538461,0.938441890166028,0.521704840708345,0.9456580091489925,1.2046631774825034,0
0.04,-0.4615384615384615,-0.3070242656449553,-0.4976264153833968,-0.2928584930626441,-0.5014055656606735,1
-0.58,-0.1538461538461538,-0.0812260536398467,0.0205767954343589,-0.4165589202676647,0.1720418892364549,2
0.84,0.8461538461538461,1.415581098339719,0.7414802520978839,0.7700880874069034,0.5560619984485613,0
0.74,-0.5384615384615384,-0.269220945083014,-0.2265741958601985,-0.5359646138142226,-0.4209627436094744,1
-0.16,-0.2307692307692307,-0.0822477650063857,0.0715581310487483,-0.4383350345922649,0.1487618043599596,2
-0.14,2.1538461538461537,1.3624521072796936,0.3604298429571594,-1.484586594079619,-2.6300137224748283,2
0.28,0.1538461538461538,0.5879948914431673,0.6096417179926791,0.213950323239197,0.2135512963456836,2
-0.98,0.3846153846153846,0.1507024265644955,0.0931634519778975,0.4171033231257797,0.3474390882184823,2
0.4,0.3846153846153846,0.0485312899106002,-0.041051319830243,-0.3279724774110619,-0.2153641492704799,2
0.8,-0.5384615384615384,-0.3284802043422733,-0.5731121944276262,-0.9963782087633738,-0.6268690719886669,1
-0.9,-0.0769230769230769,-0.1425287356321839,-0.1637464243097154,0.0552266454954444,-0.2341169205164592,2
-0.46,-0.4615384615384615,-0.271264367816092,-0.3095641045767844,-0.3984121583304979,-0.2816723463403004,1
0.94,0.8461538461538461,1.3031928480204342,0.6948804331338753,1.000642697818608,1.235668589006944,0
-0.3,-0.5384615384615384,-0.3744572158365262,-1.0582574311957298,-1.2265396393331065,-1.149344564141652,1
0.14,-0.3076923076923077,-0.0802043422733077,0.1340348090758792,-0.3905485614910589,0.1993912028756594,2
-0.36,-0.4615384615384615,-0.2825031928480204,-0.3634934742232148,-0.3322369664662962,-0.2192916247412863,1
-0.82,0.1538461538461538,-0.096551724137931,-0.1846307103226394,-0.1488941816944539,-0.3845406049155694,2
-0.9,0.2307692307692307,0.8168582375478928,0.7187522807841212,0.5179085856867415,0.9429512220914396,0
0.12,-0.6923076923076923,-0.3386973180076628,-0.4884535563121409,-0.0648444293221428,-0.3206329005963372,1
-0.24,1.0,0.5277139208173691,0.2155734797378269,0.4784696230766322,0.3857263935387824,2
0.54,-0.4615384615384615,-0.3223499361430396,-0.5966517025650895,-0.841253638803826,-0.7934828465550389,1
1.0,-0.6153846153846154,-0.3366538952745849,-0.5610929952742345,-0.2753468677932781,-0.1677653778187356,1
0.08,0.6923076923076923,0.5164750957854406,0.3131309880605051,-0.0781822993459604,0.4950285886790375,2
-0.92,0.4615384615384615,1.0201787994891445,0.7185775302282141,0.8613058107443953,0.6058543501132072,0
0.78,-0.6153846153846154,-0.3509578544061302,-0.6944780431828861,-0.9367963404030092,-0.9361182953011112,1
-0.9,-0.8461538461538461,-0.3826309067688378,-0.8670725967233469,-0.893395334769952,-0.8693124806707488,1
-0.6,-0.5384615384615384,-0.3734355044699872,-1.0426038451828226,-1.3317606139654456,-1.8313661993822064,1
0.46,0.0769230769230769,0.6002554278416348,0.6623947569861496,0.8591886885183925,1.1547922417825551,0
-0.5,-0.3846153846153846,-0.2804597701149425,-0.4174283174744931,-1.3317606139654456,-1.4936021957337822,1
0.86,-0.7692307692307693,-0.3489144316730523,-0.4793989203966724,-0.2965483346565347,-0.1867517953290846,1
-0.2,1.0,0.942528735632184,0.4712224356586445,0.6356508260557256,0.1236296593359837,0
-0.4,0.1538461538461538,0.1128991060025542,0.1550273092662863,0.4220029488488148,0.3505304542106668,2
-0.94,1.0769230769230769,1.3246487867177523,0.6246712419685093,0.8350534951419606,1.1406198224309412,0
0.1,-0.6153846153846154,-0.3315453384418901,-0.5190546514690898,-0.4761407886280291,-0.358660692505697,1
0.1,0.4615384615384615,1.2469987228607915,0.8273282893516767,0.9390646856451552,1.200909064990995,0
0.16,0.6153846153846154,0.2140485312899106,0.0719245801536325,0.4488299119125931,0.017673622480177,2
0.12,0.9230769230769232,1.5943805874840358,0.7826166960132473,0.93307625420589,1.197492541576212,0
-0.38,0.4615384615384615,0.7116219667943806,0.5421637892977648,0.5672072889493781,0.9751853351669496,0
-0.36,-0.6923076923076923,-0.3754789272030651,-0.9335685154116622,-0.7136214131790859,-0.6248242130825896,1
0.28,0.3076923076923077,0.1241379310344827,0.0947139231100677,0.1337113908736909,0.1572960165735886,2
-0.74,0.4615384615384615,1.0641123882503192,0.740813525307602,0.7332501606744547,1.0795611761399362,0
-0.62,0.5384615384615384,0.2201787994891443,0.1082036883940794,0.4572984008166043,0.0226425059858842,2
-0.46,0.6923076923076923,0.4980842911877394,0.2991971127355073,0.3112169672224112,0.2790953142734615,2
-0.82,0.3076923076923077,0.2140485312899106,0.2005307924660244,0.4883596083323882,0.3918109330149418,2
-0.4,0.0769230769230769,0.6942528735632184,0.7275715075095261,0.5786699935730218,0.982595089514784,0
0.52,-0.7692307692307693,-0.3703703703703703,-0.7537441065047871,-0.7806736985369174,-0.710692190530382,1
-0.98,-0.8461538461538461,-0.3938697318007663,-1.1992451244811797,-0.5764318929341046,-0.7665497453164392,1
-0.6,1.3076923076923077,0.896551724137931,0.3531203757529111,1.1087973989641224,0.7338196788582046,0
-0.9,0.2307692307692307,0.2620689655172414,0.2887107390892012,0.5311859665041019,0.4178923561636274,2
0.82,0.3076923076923077,1.1908045977011494,0.8760169644696995,0.7053343918944464,-0.1024460590448646,0
-0.96,0.4615384615384615,0.8750957854406131,0.6404492914051926,0.4675210767078749,0.909371058364627,0
-0.4,1.1538461538461535,0.4766283524904214,0.1307121416053293,0.4082416543797966,0.3418324199466216,2
0.78,0.6923076923076923,0.270242656449553,0.1015132327686181,0.2751654001739064,-0.0880928540267969,2
0.18,-0.5384615384615384,-0.3386973180076628,-0.6549052573225578,-0.701705039507013,-0.1659100248721954,1
0.38,-0.8461538461538461,-0.3918263090676884,-1.1249230732736688,-0.3413708366413368,-0.2277402854236999,1
-0.3,0.3076923076923077,1.525925925925926,1.019390363802151,0.7173414993762051,1.0698259764286486,0
